epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,171.315,0.53989,0.48509,0.50471,0.93817,0.97638,0.91667,0.93481,0.86219,0.97638,0.91667,0.93864,0.89645,0.40809,0.4113,0.38359,0.89327,0.0008516,0.0008516,0.0008516
31,177.297,0.52664,0.50613,0.48683,0.94022,0.98819,0.92708,0.93905,0.87303,0.98819,0.92708,0.94467,0.9157,0.38674,0.33212,0.31285,0.87903,0.000812,0.000812,0.000812
32,182.892,0.51276,0.50815,0.46636,0.92836,0.94697,0.9375,0.94047,0.86793,0.94697,0.9375,0.94927,0.92247,0.41468,0.32615,0.32752,0.89678,0.0007724,0.0007724,0.0007724
33,189.159,0.51313,0.48127,0.45453,0.93867,0.98724,0.9375,0.94727,0.88689,0.98724,0.9375,0.95059,0.91846,0.39628,0.33265,0.29499,0.88507,0.0007328,0.0007328,0.0007328
34,195.025,0.4967,0.46438,0.44731,0.9319,0.98659,0.90625,0.93904,0.87741,0.98659,0.90625,0.94258,0.92221,0.36781,0.34928,0.37821,0.8669,0.0006932,0.0006932,0.0006932
35,200.669,0.49447,0.47362,0.43957,0.93743,0.98748,0.91667,0.94079,0.88265,0.98748,0.91667,0.94592,0.92976,0.37705,0.32362,0.33219,0.87423,0.0006536,0.0006536,0.0006536
36,205.821,0.48503,0.45559,0.43944,0.93591,0.98802,0.9375,0.93839,0.88091,0.98802,0.9375,0.95054,0.92216,0.36325,0.34759,0.25569,0.86627,0.000614,0.000614,0.000614
37,210.966,0.49366,0.50533,0.44836,0.92849,0.99662,0.9375,0.93925,0.90021,0.99662,0.9375,0.95229,0.92753,0.3275,0.31068,0.24803,0.85235,0.0005744,0.0005744,0.0005744
38,216.15,0.4793,0.47445,0.43493,0.93433,0.97775,0.91569,0.93513,0.87135,0.97775,0.91569,0.94565,0.91911,0.36168,0.3307,0.38286,0.87839,0.0005348,0.0005348,0.0005348
39,221.219,0.4697,0.47239,0.41682,0.91771,0.98699,0.91667,0.93578,0.88924,0.98699,0.91667,0.94982,0.9224,0.33913,0.33414,0.32583,0.85689,0.0004952,0.0004952,0.0004952
40,226.396,0.44191,0.43354,0.38961,0.91191,0.98765,0.91667,0.93461,0.89486,0.98765,0.91667,0.9473,0.92493,0.34715,0.34561,0.34857,0.85242,0.0004556,0.0004556,0.0004556
41,246.281,0.40015,0.36543,0.37118,0.90426,0.97737,0.91667,0.93681,0.89006,0.98682,0.92708,0.94805,0.91848,0.32806,0.31009,0.27907,0.84771,0.000416,0.000416,0.000416
42,251.389,0.39503,0.36164,0.34242,0.9025,0.98874,0.91457,0.94038,0.89979,0.97548,0.92708,0.95032,0.92937,0.32069,0.31329,0.2817,0.84821,0.0003764,0.0003764,0.0003764
43,256.467,0.39581,0.34656,0.37889,0.8952,0.98776,0.91667,0.93547,0.8994,0.98776,0.91667,0.94539,0.93114,0.32594,0.32303,0.33624,0.8441,0.0003368,0.0003368,0.0003368
44,261.652,0.37736,0.33762,0.3443,0.89897,1,0.93451,0.94424,0.88991,1,0.93451,0.94971,0.9315,0.34047,0.31848,0.25006,0.84494,0.0002972,0.0002972,0.0002972
45,266.734,0.36861,0.33797,0.33705,0.88968,0.99841,0.9375,0.94518,0.90341,0.99841,0.9375,0.95387,0.92807,0.30445,0.31061,0.23568,0.84754,0.0002576,0.0002576,0.0002576
46,272.091,0.33248,0.33234,0.29963,0.86101,0.99957,0.92708,0.95022,0.90527,0.99957,0.92708,0.95281,0.92927,0.30107,0.31261,0.24817,0.8412,0.000218,0.000218,0.000218
47,277.123,0.3433,0.34031,0.31439,0.87132,0.9976,0.9375,0.95415,0.91352,0.9976,0.9375,0.95775,0.9338,0.28318,0.30515,0.21925,0.83142,0.0001784,0.0001784,0.0001784
48,282.177,0.33591,0.32314,0.29413,0.86026,0.99694,0.9375,0.96233,0.91603,0.99694,0.9375,0.95772,0.93349,0.27442,0.29809,0.21632,0.83075,0.0001388,0.0001388,0.0001388
49,287.278,0.32831,0.33517,0.28116,0.86406,0.98845,0.9375,0.95926,0.91417,0.98845,0.9375,0.94977,0.93286,0.28002,0.29592,0.21974,0.83219,9.92e-05,9.92e-05,9.92e-05
50,292.525,0.32015,0.3345,0.26869,0.86112,0.9949,0.9375,0.95968,0.91925,0.9949,0.9375,0.95024,0.93103,0.26629,0.29087,0.21381,0.83092,5.96e-05,5.96e-05,5.96e-05
